,Textos_espanol,sdg
10,"Estos estudios examinaron los crecientes niveles de participación de las mujeres asiáticas en la propiedad de empresas. Una conclusión interesante de las investigaciones realizadas en el Reino Unido (Dhaliwal, 1998 y 2007, Ram y Jones, 1998) es que las mujeres asiáticas no están muy representadas en el trabajo por cuenta propia porque hay una tendencia a que algunas empresarias sean ""invisibles"" y no se reconozca su existencia. Estas mujeres ""ocultas"" (Dhaliwal, 1998) dicen que es su marido, su padre o su hermano quien dirige la empresa y ocultan el alcance de su papel, aunque desempeñen un papel fundamental en la gestión de la empresa. ",5
11,"Los cursos no financiados con tasas no reguladas (y mucho más elevadas) han crecido en número, aunque siguen representando sólo una parte relativamente pequeña de la educación terciaria. Entre 1995 y 2006, el aumento porcentual del número de estudiantes en todos los niveles fue muy superior a la media de la OCDE (Figura 1, Panel A). Además, la proporción de estudiantes matriculados en todos los niveles educativos en relación con la población total es muy alta en comparación con la mayoría de los países de la OCDE (Figura 1, Panel B). ",4
12,"También persisten las disparidades en materia de emprendimiento, ya que solo el 19% de las pequeñas y medianas empresas (PYME) están dirigidas por mujeres (WBC 2013a). En todos los sectores de la economía británica, la actividad económica de las mujeres sigue viéndose obstaculizada y su potencial desaprovechado. Los datos demuestran que la economía se beneficiaría enormemente de una mayor igualdad de género en el lugar de trabajo. ",5
13,"Por ejemplo, los servicios de urgencias tienen que prestar asistencia aunque ya se hayan cubierto las cuotas anuales de determinados servicios, por lo que el número de casos de este tipo puede proporcionar alguna indicación de si las cuotas se han fijado adecuadamente. El origen y destino final de los pacientes también puede proporcionar una indicación de si la capacidad en los distintos niveles de atención es adecuada, tanto en términos de acceso como de calidad de la atención. En 2013, había 3,1 médicos en ejercicio por cada 1 000 habitantes, cerca de la media de la OCDE de 3,2, y un ligero aumento con respecto a 2000, cuando había 2,9 médicos en ejercicio por cada 1 000 habitantes en Letonia. ",3
14,"De hecho, las mujeres siguen siendo desproporcionadamente responsables del trabajo de cuidados no remunerado, con un gran potencial para mejorar el cuidado público, accesible y asequible de niños y/o ancianos (OCDE, 2017[i)). Aunque las mujeres de diversos orígenes se encuentran a menudo en el extremo perdedor de la desigualdad estructural de género, las normas y estereotipos culturales crean simultáneamente problemas para los hombres y los niños. Además, surgen nuevos retos: al tiempo que presentan oportunidades reales de cambio, la digitalización, las tecnologías disruptivas y los macrodatos generan riesgos adicionales para ampliar la escala de las desigualdades persistentes y crean nuevas formas de brechas. ",5
15,"Se han destinado numerosos programas de subvenciones a la investigación básica y la comercialización de I+D, pero de forma relativamente poco sistemática. La competencia entre los 13 estados malayos para atraer instituciones de investigación y campus de enseñanza superior es intensa. La escasez de terrenos en Penang y su elevado coste suponen una barrera a la inversión. Según el NCER 2007 Blueprint, varios polígonos industriales y parques tecnológicos siguen infrautilizados o desaprovechados. La excesiva dependencia del modelo techpush está dificultando la transferencia de conocimientos. Se ha creado un Consejo Científico de Penang, impulsado por la industria, para garantizar que Penang pueda aplicar su estrategia. ",4
16,"Además, los alumnos de los cursos 9º y 10º tienen una tarea de proyecto obligatoria que les da la oportunidad de completar y presentar un proyecto interdisciplinar. El proyecto se evalúa mediante una declaración escrita basada en el contenido, el proceso de trabajo y la presentación del trabajo final. La evaluación del proyecto se puede indicar en el certificado de fin de estudios. ",4
17,"Dada la evidencia de que muchos estudiantes en Costa Rica comienzan la escuela con escasas competencias básicas, especialmente en lectura, el país también podría considerar adelantar la evaluación de primaria a un curso anterior, o añadir una evaluación adicional en los primeros años de primaria. Comprender mejor dónde y cómo"" los alumnos empiezan a quedarse atrás permitiría desarrollar ayudas más eficaces para profesores y escuelas. Reconociendo la importancia de consolidar las habilidades básicas en los primeros grados para el aprendizaje posterior, muchos países de la OCDE han introducido una evaluación nacional en el segundo (por ejemplo, Francia, Italia), tercer (por ejemplo, Alemania, Suecia), o cuarto grado (por ejemplo, Chile, Corea) de la escuela primaria (OCDE, 2013). Una mejora esencial en cualquier grado en Costa Rica es una mejor información sobre la equidad de los resultados. ",4
18,"Hasta hace poco, sin embargo, la cuestión había recibido relativamente poca atención y pocos países han desarrollado políticas sistemáticas para abordarla. Otra opción es facilitar a las mujeres inmigrantes el acceso a la actividad empresarial. Se trata de una vía especialmente eficaz para acceder al mercado laboral. Ofrece la oportunidad de dedicarse a una actividad remunerada que es más flexible y fácil de combinar con el cuidado de los hijos y otros compromisos, y en la que las barreras culturales son un obstáculo menor que el empleo regular. ",5
19,"Cada vez se reconocen más las repercusiones de un medio ambiente degradado sobre la salud y su reducción se considera uno de los principales objetivos de la política, los programas y la normativa de protección medioambiental. Se ha avanzado en el control de la calidad de los principales medios ambientales y en la vigilancia de las enfermedades infecciosas. Se ha reforzado la capacidad profesional en materia de salud pública y medioambiental con métodos avanzados de vigilancia sanitaria y evaluación de riesgos. ",3
20,"Formulario único de recogida de datos - Datos agregados). Una estancia de más de 24 horas se considera una lesión grave, y menos, una lesión leve. Sin embargo, desde 2010, la ANSV está trabajando con el Ministerio de Salud de la Nación para vincular los registros hospitalarios y los datos del Formulario Naranja. Este proyecto de vinculación se inició como piloto en dos de las provincias más pobladas de Argentina, con el fin de recopilar datos basados en el MAIS 3. ",3
21,"Dado que estos objetivos se centran en no dejar a nadie atrás, a la hora de abordar los problemas medioambientales hay que tener en cuenta la desigualdad y la exclusión entre hombres y mujeres, es decir, las dimensiones sociales del desarrollo sostenible. Las diferencias socialmente construidas entre hombres y mujeres son una dimensión importante de la desigualdad y la exclusión y deben abordarse para alcanzar los ODS. Más del 60% de las personas desnutridas o que padecen hambre crónica en el mundo viven en la región Asia-Pacífico. En las zonas rurales y urbanas, la variabilidad estacional, que hace subir el precio de los alimentos básicos, obliga a los hogares a gastar más de sus ingresos en alimentos. ",5
22,"El principal instrumento de medición, el Adult Mental Health Benchmarking Toolkit, presenta indicadores de resultados en formato de cuadro de mando, combinando indicadores estructurales, de proceso y de resultados. Por lo general, se entiende que los trastornos leves a moderados (como la depresión y la ansiedad) no requieren tratamientos altamente especializados administrados por psiquiatras o en régimen de hospitalización en la gran mayoría de los casos. Por el contrario, requieren una sólida atención primaria y comunitaria. Aunque la atención primaria es, en la inmensa mayoría de los casos, el primer punto al que acuden las personas que sufren trastornos mentales, los médicos de atención primaria no siempre disponen de las competencias y opciones de tratamiento adecuadas para responder eficazmente a las necesidades. ",3
23,Los campeones de HeForShe están encontrando formas diferentes y creativas de romper el ciclo del daño. No se limitan a poner de relieve el problema y a cuestionar las actitudes. También están explorando cómo pueden adaptarse los procesos y estructuras establecidos para reducir la violencia y sentar a más mujeres a la mesa cuando se trata de la agenda de paz y seguridad. La comunidad internacional ha reconocido que la participación de la mujer es vital para alcanzar y mantener la paz. ,5
24,"Los esfuerzos deben centrarse en abordar las desigualdades en el acceso a los servicios sanitarios -entre regiones, así como entre ciudades y zonas rurales- teniendo en cuenta la geografía del país y la baja densidad de población en la planificación de la prestación sanitaria. Las redes de instalaciones a todos los niveles deberían reorganizarse de forma compatible con los nuevos modelos de prestación de servicios y en apoyo de los mismos, y ajustarse a las tendencias demográficas y los patrones de acceso. Para este ejercicio, un punto de partida podrían ser los planes maestros de prestación de servicios desarrollados en los últimos años. ",3
25,"Las mujeres siguen sufriendo un trato desigual y actitudes condescendientes. Las mujeres políticas aún no gozan del poder de decisión de sus homólogos masculinos. En Irak, por ejemplo, ninguna mujer participó en las negociaciones para alcanzar un gobierno de compromiso tras las elecciones parlamentarias de 2010, y el Ministerio de Asuntos de la Mujer es sólo un gabinete de Estado sin presupuesto asignado. La sentencia fue seguida, el 6 de junio de ese año, por otras tres similares en beneficio de otros estudiantes. Las sentencias impedían a la universidad negarse a aceptar a mujeres estudiantes en determinados departamentos basándose únicamente en la política de admisión de la universidad. ",5
26,"Incluso en los países de la OCDE considerados con una atención primaria fuerte, como el Reino Unido, Australia y Nueva Zelanda, una gran proporción de médicos sigue trabajando en solitario. En Israel, un consultorio medio de atención primaria cuenta con el equivalente a 3,4 médicos generalistas, 2,6 enfermeras, 1,5 auxiliares y la mayoría tiene un director de consulta. En los últimos años, el Reino Unido, Australia, Francia y Suiza han modificado la financiación o proporcionado pagos adicionales a los médicos de cabecera para intentar dar prioridad a estos servicios, pero han tenido un éxito limitado a la hora de impulsar un cambio en todo el sistema. ",3
27,"Considera que el Nivel 2 en lectura y matemáticas es el nivel mínimo de competencia necesario para que los alumnos participen plenamente en la sociedad del conocimiento (véase la sección Definiciones). En Estonia, Finlandia y Japón, al menos el 83% de los alumnos alcanzan el Nivel 2 o superior tanto en lectura como en matemáticas, mientras que menos del 35% de los alumnos lo hacen en Brasil, Colombia y Costa Rica. Sin embargo, PISA también muestra sistemáticamente que un alto rendimiento y una mayor equidad no son mutuamente excluyentes (Figura 2). De hecho, poder mejorar el rendimiento de todos los estudiantes, independientemente de su origen, es necesario para que los países se conviertan en países de alto rendimiento y alcancen las metas del ODS 4. ",4
28,"En algunos casos, los organismos interdepartamentales horizontales gozan de un estatuto jurídico en las leyes o reglamentos sobre igualdad, pero estos mecanismos de coordinación pueden seguir adoleciendo de mandatos ambiguos (Johan, 2010). Los puntos focales de los ministerios sectoriales encargados de integrar y coordinar las iniciativas de integración de la perspectiva de género, por ejemplo, pueden sufrir marginación institucional, falta de autoridad e insuficientes conocimientos técnicos (Ibid). Para apoyar la puesta en marcha de este proceso de ""todo el gobierno"", la ley creó un Grupo de Coordinación Interdepartamental para el gobierno federal. Los miembros de este grupo son representantes de las administraciones y de las oficinas de los ministros, y su secretaría es el Instituto para la Igualdad de Mujeres y Hombres. ",5
29,"Este esfuerzo cobró nuevo impulso e inspiración en 1994, cuando 179 gobiernos se reunieron en El Cairo para la Conferencia Internacional sobre la Población y el Desarrollo y forjaron un plan de desarrollo sostenible basado en los derechos y opciones individuales y en el logro de la salud sexual y reproductiva para todos. Ese plan, plasmado en un Programa de Acción, no sólo revitalizó el movimiento mundial en pro de los derechos reproductivos, sino que también situó al FNUAP como custodio del movimiento. ",3
30,"Los profesores crean mayores conexiones con la comunidad en general y con los ancianos, y explicitan cómo lo que se está aprendiendo influye en uno mismo, en la familia, en la comunidad y en la tierra. Los profesores son activadores, mientras que los alumnos participan activamente en el diseño, la aplicación y la medición de las experiencias de aprendizaje. Las asociaciones gozan de un alto grado de equidad, transparencia, beneficio mutuo y responsabilidad. ",4
31,"Sin embargo, la prevalencia de niños de 0 a 6 meses con bajo peso aumentó del 6,9% en 2005 al 8,4% en 2010. En 2014, el bajo peso al nacer era más frecuente en las zonas rurales (sobre todo en la región occidental, con un 6,6%) que en las urbanas (3,8% en Ulán Bator). En 1997, el Gobierno aprobó una primera lista de productos químicos tóxicos y peligrosos prohibidos y de uso limitado. ",3
32,"Los informes de calidad deben basarse en los datos disponibles en un almacén nacional de datos (más información al respecto más adelante) y referirse a una serie de indicadores como el número de profesores con competencias docentes en las materias que imparten, los resultados relativos al rendimiento académico y el bienestar en relación con los indicadores establecidos en la reforma de la Folkeskole de 2014, las notas medias correlacionadas con el origen socioeconómico, las tasas de transición a la educación secundaria superior y las tasas de inclusión de alumnos con necesidades educativas especiales. A efectos de seguimiento, los informes de calidad pueden, sin embargo, revelar información sobre si el municipio o los centros escolares individuales cumplen sus objetivos de rendimiento y cómo evoluciona el rendimiento a lo largo del tiempo. Los seis municipios visitados por el equipo de revisión de la OCDE informaron de que disponen de procedimientos para garantizar el control de calidad de sus escuelas. Esto suele implicar reuniones anuales con los directores de los centros para debatir los resultados de los alumnos, basados en evaluaciones nacionales y municipales y en encuestas a los alumnos y/o al personal de los centros. ",4
33,"Con el telón de fondo de una prolongada falta de fuentes oficiales de información fiable sobre la producción, el tráfico y el uso indebido de drogas ilícitas entre los países de la región, ha habido varios informes de los medios de comunicación y anecdóticos sobre el uso indebido generalizado de comprimidos falsificados de Captagon (que contienen anfetamina) entre todas las partes implicadas en la violencia armada en la República Árabe Siria. Es significativo que, por primera vez en seis años, el Estudio sobre el Opio en Afganistán 2015, del que se dispone del resumen ejecutivo, señala que se ha producido una disminución de la superficie total estimada de cultivo ilícito de adormidera en Afganistán, que en 2015 ascendió a 183.000 hectáreas (ha). Esto representa una disminución en comparación con 2014, cuando el cultivo alcanzó niveles récord, con 224.000 hectáreas.",3
34,"En ambas cámaras legislativas esta cifra alcanzó el 15,9%. En 2000, la Unión Interparlamentaria registró cero mujeres parlamentarias en varios países, entre ellos Yibuti, Jordania, Kuwait y los Emiratos Árabes Unidos (EAU)5 , y los niveles más altos de mujeres como representantes políticas se encontraron en Túnez, con 15 mujeres (11,5%), e Irak, con 19 (7,6%) (Unión Interparlamentaria, 2000). En 2014, cada uno de los países mencionados anteriormente que no contaban con ninguna mujer en el parlamento en 2000 había aumentado estas cifras: Yibuti aumentó la representación de mujeres en su poder legislativo a 7 (12,7%), la representación legislativa femenina de Jordania creció a 18 mujeres (12%), los Emiratos írabes Unidos tienen ahora 7 mujeres (17,5%), 1 mujer (1,5%) ejerce como legisladora en Kuwait. ",5
35,"En 2011, se revisó la normativa de acreditación de programas para incluir criterios sobre la pertinencia académica y disciplinar (Kantardjiev y Haakstad, 2017). En la sección 4.2 de la normativa se exige a las instituciones de educación superior que describan la pertinencia de cada programa para la vida laboral y/o la continuación de los estudios mediante la descripción de las competencias desarrolladas en el programa y el modo en que dichas competencias se ajustan al mercado laboral (Nord University, 2011). La evaluación de la pertinencia de los programas para el mercado laboral suele realizarse mediante el diálogo con los empleadores, pero existen dudas sobre la solidez y la validez de este proceso de consulta (Kantardjiev y Haakstad, 2017). Los programas ahora ""deben estar profesionalmente actualizados y ser claramente pertinentes para los estudios posteriores y/o la vida laboral"" (Ministerio de Educación e Investigación de Noruega, 2017b).",4
36,"Por ejemplo, las estadísticas de las cuentas nacionales que incorporan una perspectiva de género tienen en cuenta tanto la contribución de las mujeres como la de los hombres en todos los ámbitos sociales y económicos, incluido el trabajo no remunerado. La palabra ""sexo"" se refiere a las diferencias biológicas entre mujeres y hombres. Las diferencias biológicas son fijas e inmutables y no varían entre culturas ni a lo largo del tiempo. El ""género"", por su parte, se refiere a las diferencias construidas socialmente en los atributos y oportunidades asociados al hecho de ser mujer u hombre y a las interacciones y relaciones sociales entre mujeres y hombres.",5
37,"La falta de pruebas sólidas de la medición de la seguridad de los pacientes en los entornos de atención primaria y ambulatoria puede explicarse en parte por la naturaleza fragmentada de este entorno descrita en la introducción. De hecho, las respuestas a la encuesta sugieren que el carácter fragmentado de los ""sistemas"" de atención primaria y ambulatoria y la falta de gobernanza general del sistema son el principal obstáculo para la aplicación de medidas e intervenciones de seguridad (véase el capítulo 4). Esto significa que la información rara vez puede vincularse. Estos obstáculos técnicos pueden impedir captar con precisión la imagen completa de la frecuencia y magnitud de los daños sufridos por los pacientes a lo largo de su recorrido.",3
38,"Los estudios que utilizan la clase ocupacional o el nivel educativo en lugar de la renta como indicador socioeconómico encuentran resultados cualitativamente similares, aunque las diferencias en la esperanza de vida son significativamente menores (Palosuo et al., El proyecto TEROKA pretende desarrollar una base de conocimientos y herramientas para promover la consecución del objetivo del programa de salud pública Salud 2015 de reducir las desigualdades en salud. An analysis of the recent hospital reform in Norwayâ€, en: Andresen y Gronlie (eds.), â€œ",3
39,"Todas las formas de migración (laboral, estudiantil, forzosa, etc.) Se necesitan normativas que permitan la reunificación familiar, basadas en los derechos humanos, la igualdad y la no discriminación, para que las mujeres migrantes puedan vivir la vida familiar que elijan. La aplicación de los compromisos con perspectiva de género requerirá el reconocimiento de los múltiples papeles que desempeñan las mujeres en la vida pública y familiar, la diversidad de familias en las que viven las mujeres y toda la gama de derechos de la mujer.",5
40,"Sacar a la luz pública la prevalencia del problema es en sí mismo un paso para contrarrestar estos abusos y empoderar a las niñas. Cabe señalar que la violencia sexual también se ejerce contra los niños; sin embargo, hasta la fecha se dispone de pocos datos sobre la violencia contra los niños o sobre la experiencia diferencial de las niñas y los niños.",5
41,"Por ejemplo, Becker-Blease y Sohl (2007,isj) muestran que las mujeres buscan financiación ángel en porcentajes sustancialmente inferiores a los de los hombres, pero tienen la misma probabilidad de recibir inversión condicionada a la búsqueda de financiación. Las diferencias en las aspiraciones también pueden influir. Es más probable que se asocie a las mujeres con empresas menos intensivas en capital y con esfuerzos de crecimiento menos agresivos (Kanze et al., Los datos de Estados Unidos parecen sugerir que ésta no puede ser toda la explicación. De hecho, la representación de las mujeres en los programas de MBA, así como en las titulaciones superiores de ciencias e ingeniería, ha sido sustancialmente superior a su representación en los sectores empresariales durante las dos últimas décadas. Además, la infrarrepresentación de las mujeres como empresarias respaldadas por capital riesgo no se corresponde con una infrarrepresentación similar en otros campos profesionales altamente remunerados, como la medicina o el derecho, ni en empleos con perfiles similares de capital humano, como la banca de inversión o la consultoría.",5
42,"Los PME orientan a las empresas sobre cómo empoderar a las mujeres en el lugar de trabajo, el mercado y la comunidad. El Principio 5, en particular, pide que se apliquen prácticas de desarrollo empresarial, cadena de suministro y marketing que empoderen a las mujeres. Los gobiernos suelen ser los principales compradores de productos y servicios en sus países.",5
43,"Los supervisores están destinados a visitar y supervisar el funcionamiento de las escuelas, asesorar a las escuelas y a la autoridad y realizar diversas tareas administrativas y pedagógicas. Sin embargo, las tareas administrativas ocupan la mayor parte de su tiempo. Sólo los antiguos directores de escuela pueden optar al puesto de supervisor, los nombramientos ATP sólo se conceden a antiguos profesores. Las solicitudes son evaluadas y los puestos asignados en cada estado por la Comisidn Nacional Mixta de Escalaf6n compuesta por la Secretarfa de Educacidn Publica (SEP) y representantes del Sindicato Nacional de Trabajadores de la Educacidn (SNTE). Sin embargo, este mecanismo está influido por criterios sindicales y políticos. Actualmente se están realizando esfuerzos para cambiar este proceso y hacerlo más transparente.",4
44,"En casi todos los países y regiones del mundo se ha avanzado en distintos ámbitos hacia la consecución de la igualdad de género y la autonomía de la mujer. Sin embargo, estos avances han sido desiguales y los logros siguen siendo frágiles; en casi ningún lugar se da a los derechos de la mujer la prioridad que merecen. Al mismo tiempo, la Resolución 1325 supone un hito en el reconocimiento de la contribución de las mujeres al mantenimiento de la paz y la seguridad y reconoce sus necesidades y preocupaciones específicas en los conflictos armados y sus consecuencias.5 La resolución reconoce que las mujeres no son meras víctimas, sino que también tienen poder de acción y participan activamente en la consolidación de la paz, principalmente a través de la diplomacia informal de base en las zonas de conflicto. Entre las iniciativas que se han desarrollado se encuentran otras cuatro resoluciones del Consejo de Seguridad6 sobre la violencia sexual en los conflictos, y se ha realizado un esfuerzo concertado para desarrollar planes de acción a escala nacional, regional y subregional con el fin de acelerar la aplicación de la Resolución 1325.",5
45,"Mientras que la eficacia mide el efecto de un agente terapéutico en condiciones y entornos controlados, la efectividad mide el efecto de un tratamiento en condiciones menos controladas en entornos sanitarios del ""mundo real"". Medir la eficacia es mucho más fácil en pacientes con una sola enfermedad. Por ello, es muy habitual que las personas con múltiples enfermedades crónicas queden excluidas de los ensayos clínicos aleatorizados.",3
46,"También tienden a obtener mejores resultados en las evaluaciones cognitivas y lingüísticas cuando la proporción personal-niño es mayor. Además, el desarrollo académico parece mejorar con ratios personal-niño más altas, aunque no hay muchos estudios (recientes) que hayan investigado este tema (Huntsman, 2008, Sylva et al., Una limitación de la investigación mencionada anteriormente es que la mayoría de los resultados son casi exclusivamente correlacionales, y ha habido muy pocos estudios experimentales (Huntsman, 2008). Un estudio experimental realizado por Chetty et al.",3
47,"Pero quedan muchos retos por delante. Actualmente sólo se dispone de datos suficientes y regulares para 10 de los 54 indicadores específicos de género. A menos que el género se integre en las estrategias estadísticas nacionales y se le dé prioridad en los procesos regulares de recopilación de datos, persistirán la escasez y las lagunas en los datos de género. Sin un compromiso de alto nivel y sin independencia política, los sistemas estadísticos no podrán desempeñar su papel fundamental en el proceso de seguimiento y revisión.",5
48,"Aún queda mucho por hacer para reducir los tiempos de espera en las consultas externas de los hospitales de otras zonas, y el Gobierno se ha comprometido a construir un nuevo bloque de consultas externas para aumentar la capacidad de atender la demanda. También se está llevando a cabo un ejercicio para mejorar la eficiencia interna en la gestión de los servicios ambulatorios con vistas a reducir los tiempos de espera. Otros factores que ponen a prueba la capacidad del sistema sanitario son el aumento de la inmigración de trabajadores y pensionistas, los turistas que utilizan el sistema sanitario y los cambios en los comportamientos de riesgo de la población.",3
49,"La ley destaca la necesidad de que todos los aspectos de estos sistemas de evaluación interna sean transparentes. En general, existe poca documentación sobre los procesos de evaluación del profesorado diseñados y aplicados a nivel escolar. El proyecto de ley se presentó al Parlamento en marzo de 2012 y actualmente se está debatiendo. A medida que el profesor avanza en la estructura de la carrera profesional, tiene acceso a puestos con mayores responsabilidades dentro de los centros escolares.",4
50,"El abandono escolar también se redujo en 3,2 puntos porcentuales más que en las escuelas que no formaban parte del programa. Las tasas de abandono durante el programa han sido mucho más bajas que la media nacional, más del 90% de los graduados de las escuelas BRAC pasan al sistema formal (Nath, 2009). Estas desventajas se reflejaron en el escaso impacto de la supresión de las tasas escolares en la matriculación. Según una estimación, sólo uno de cada seis niños keniatas discapacitados asistía a la escuela tras la supresión de las tasas (Mulama, 2004).",4
51,"También puede ser ventajoso acceder a comunidades de difícil acceso o desfavorecidas, en las que la carga del riesgo sanitario también puede ser mayor. Con la llegada de intervenciones sanitarias complejas, incluidos regímenes farmacológicos complejos, y el aumento de la prevalencia de la multimorbilidad, los pacientes tienen ahora más probabilidades que antes de recibir múltiples intervenciones sanitarias de distintos proveedores en distintos momentos. Para garantizar la seguridad y la eficacia de los pacientes, es fundamental que la atención se coordine adecuadamente a lo largo del tiempo.",3
